size,combine1,combine2,combine3,combine4,combine5,combine6,combine7
1000,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2000,0.003,0.003,0.003,0.003,0.003,0.001,0.001
4000,0.005,0.005,0.005,0.005,0.005,0.003,0.003
8000,0.006,0.006,0.006,0.006,0.006,0.003,0.003
16000,0.011,0.011,0.011,0.011,0.011,0.006,0.006
32000,0.023,0.023,0.023,0.023,0.023,0.011,0.011
64000,0.046,0.046,0.063,0.046,0.046,0.023,0.023
128000,0.123,0.093,0.092,0.092,0.095,0.047,0.046
256000,0.183,0.185,0.198,0.185,0.184,0.093,0.093
512000,0.375,0.379,0.375,0.373,0.374,0.186,0.196
1024000,0.800,0.743,0.737,0.798,0.741,0.393,0.375
2048000,1.456,1.507,1.521,1.576,1.496,0.841,0.782
4096000,3.231,3.151,2.982,2.994,2.950,1.654,1.816
8192000,6.365,6.256,6.134,5.829,5.959,3.251,3.229
16384000,12.943,13.193,12.429,11.597,11.518,6.818,6.953
32768000,24.461,24.250,25.257,23.339,24.087,13.242,12.803
65536000,50.412,50.300,48.921,47.619,50.098,28.252,27.905
