size,combine1,combine2,combine3,combine4,combine5,combine6,combine7
1000,0.001,0.001,0.001,0.001,0.001,0.000,0.001
2000,0.002,0.002,0.002,0.002,0.002,0.001,0.001
4000,0.004,0.004,0.004,0.004,0.004,0.002,0.002
8000,0.008,0.008,0.008,0.008,0.008,0.004,0.004
16000,0.014,0.014,0.014,0.014,0.014,0.007,0.007
32000,0.027,0.027,0.027,0.027,0.027,0.013,0.013
64000,0.051,0.051,0.052,0.050,0.050,0.029,0.025
128000,0.110,0.110,0.112,0.112,0.120,0.063,0.061
256000,0.236,0.219,0.221,0.215,0.220,0.111,0.123
512000,0.387,0.370,0.370,0.369,0.421,0.184,0.211
1024000,0.762,0.760,0.742,0.746,0.911,0.428,0.389
2048000,1.589,1.552,1.503,1.488,1.501,0.806,0.783
4096000,3.149,2.956,3.053,3.180,3.049,1.636,1.624
8192000,6.136,6.152,6.956,6.450,5.836,3.423,3.231
