size,stride,bandwidth_MBps
67108864,1,12236.7147
67108864,2,8617.6345
67108864,3,6071.1892
67108864,4,4937.6224
67108864,5,4197.2553
67108864,6,3529.9353
67108864,7,3096.0432
67108864,8,2888.9001
67108864,9,2659.6479
67108864,10,2470.7277
67108864,11,2210.1977
67108864,12,1862.9181
33554432,1,14382.3845
33554432,2,8889.8174
33554432,3,6211.4526
33554432,4,5077.9787
33554432,5,4282.7240
33554432,6,3746.6076
33554432,7,3240.0890
33554432,8,3055.8985
33554432,9,2710.1841
33554432,10,2587.6611
33554432,11,2349.3984
33554432,12,2329.2757
16777216,1,17378.6859
16777216,2,10431.0365
16777216,3,7555.7948
16777216,4,6499.4784
16777216,5,5945.6788
16777216,6,5115.1418
16777216,7,4680.9248
16777216,8,4655.3851
16777216,9,4339.3031
16777216,10,4217.7631
16777216,11,4068.2034
16777216,12,3764.0328
8388608,1,27805.0035
8388608,2,19777.8942
8388608,3,16091.3991
8388608,4,13968.2362
8388608,5,11915.5781
8388608,6,10338.1613
8388608,7,8979.0787
8388608,8,8033.4190
8388608,9,7419.5260
8388608,10,6672.3382
8388608,11,5723.4023
8388608,12,5391.9983
4194304,1,32103.2440
4194304,2,23693.8751
4194304,3,20440.4926
4194304,4,16578.2493
4194304,5,13240.6488
4194304,6,11613.5925
4194304,7,10846.7517
4194304,8,9591.7741
4194304,9,9146.4530
4194304,10,8378.3671
4194304,11,7833.9516
4194304,12,7310.2621
2097152,1,30054.3985
2097152,2,22975.8294
2097152,3,19882.6921
2097152,4,16783.0290
2097152,5,13448.9947
2097152,6,11950.0012
2097152,7,10813.4996
2097152,8,9726.8695
2097152,9,8910.2735
2097152,10,8192.0210
2097152,11,7564.4110
2097152,12,7025.8269
1048576,1,31800.5470
1048576,2,26254.9884
1048576,3,23540.4896
1048576,4,23325.2472
1048576,5,22634.6763
1048576,6,24352.2307
1048576,7,23675.3634
1048576,8,21724.0181
1048576,9,20417.3302
1048576,10,18761.7261
1048576,11,17402.1996
1048576,12,16814.6355
524288,1,30955.9188
524288,2,26365.7456
524288,3,23980.8153
524288,4,23320.8955
524288,5,23386.3424
524288,6,22868.6425
524288,7,22349.3653
524288,8,20464.9640
524288,9,19969.6461
524288,10,18382.3529
524288,11,17577.1637
524288,12,16979.0818
262144,1,30925.2845
262144,2,25541.4794
262144,3,23580.4565
262144,4,23373.2236
262144,5,23518.3443
262144,6,23199.7030
262144,7,22835.2210
262144,8,20777.9255
262144,9,20980.1947
262144,10,19025.8752
262144,11,18008.9324
262144,12,16937.6694
131072,1,30120.4819
131072,2,25020.0160
131072,3,22969.4965
131072,4,22710.7558
131072,5,22810.2190
131072,6,22546.8975
131072,7,22155.2641
131072,8,20135.3093
131072,9,20364.9397
131072,10,18491.1243
131072,11,17536.4759
131072,12,16855.4477
65536,1,30105.9730
65536,2,25242.3263
65536,3,22893.7729
65536,4,22579.4798
65536,5,22644.9275
65536,6,22353.3619
65536,7,21883.7535
65536,8,19929.8469
65536,9,20070.6487
65536,10,18825.3012
65536,11,17867.3528
65536,12,17132.6754
32768,1,30164.0927
32768,2,30048.0769
32768,3,30458.0897
32768,4,30281.0078
32768,5,30048.0769
32768,6,29932.9502
32768,7,29370.3008
32768,8,28722.4265
32768,9,28460.8379
32768,10,28409.0909
32768,11,28409.0909
32768,12,28306.1594
16384,1,30637.2549
16384,2,29592.8030
16384,3,29260.2996
16384,4,28722.4265
16384,5,28409.0909
16384,6,28306.1594
16384,7,28617.2161
16384,8,27126.7361
16384,9,27126.7361
16384,10,26939.6552
16384,11,27316.4336
16384,12,26041.6667
